Name,Structure,DataType,Shape,Size
AwakeEventData,Group,,,
AIRTR01,Group,,,
Acq,Group,,,
numericPosition,Dataset,float32,"(1,)",1.0
AIRTR02,Group,,,
Acq,Group,,,
numericPosition,Dataset,float32,"(1,)",1.0
AWAKEInjPhaseShifter,Group,,,
PhaseReadback,Group,,,
phaseACurrentValue,Dataset,float32,"(1,)",1.0
BLMITT41,Group,,,
Acquisition,Group,,,
acqDesc,Dataset,|S1,"(1,)",1.0
acqMsg,Dataset,|S1,"(1,)",1.0
acqState,Dataset,int32,"(1,)",1.0
acqTime,Dataset,int32,"(1,)",1.0
alarmStatus,Dataset,int16,"(40,)",40.0
blrSignalStatus,Dataset,int16,"(40,)",40.0
calLosses,Dataset,float32,"(40,)",40.0
calLosses_unit,Dataset,|S4,"(1,)",1.0
calLosses_unitExponent,Dataset,int32,"(1,)",1.0
calThresholds,Dataset,float32,"(40,)",40.0
channelNames,Dataset,|S15,"(15,)",15.0
deviceName,Dataset,|S5,"(1,)",1.0
enableExtFlagBIC,Dataset,int32,"(2,)",2.0
measStamp,Dataset,int32,"(1,)",1.0
nbOfChannels,Dataset,int32,"(1,)",1.0
nbOfMeas,Dataset,int32,"(1,)",1.0
normLosses,Dataset,float32,"(40,)",40.0
observables,Dataset,int32,"(1,)",1.0
rawLosses,Dataset,int16,"(40,)",40.0
superCycleNb,Dataset,int32,"(1,)",1.0
totalGains,Dataset,int32,"(5,)",5.0
BOVWA.01TCC4.AWAKECAM01,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(2048,)",2048.0
imageRawData,Dataset,int16,"(1080, 2048)",2211840.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1080,)",1080.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.01TCV4.CAM8,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(2592,)",2592.0
imageRawData,Dataset,int16,"(2048, 2592)",5308416.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(2048,)",2048.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.02TCC4.AWAKECAM02,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1280,)",1280.0
imageRawData,Dataset,int16,"(960, 1280)",1228800.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(960,)",960.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.02TSG40.CAM7,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1920,)",1920.0
imageRawData,Dataset,int16,"(1200, 1920)",2304000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.03TT41.CAM3,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1920,)",1920.0
imageRawData,Dataset,int16,"(1200, 1920)",2304000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.04TCC4.AWAKECAM04,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1600,)",1600.0
imageRawData,Dataset,int16,"(1200, 1600)",1920000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.04TT41.CAM4,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1920,)",1920.0
imageRawData,Dataset,int16,"(1200, 1920)",2304000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.05TT41.CAM5,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1920,)",1920.0
imageRawData,Dataset,int16,"(1200, 1920)",2304000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.06TCC4.AWAKECAM06,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1600,)",1600.0
imageRawData,Dataset,int16,"(1200, 1600)",1920000.0
